Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close
6/17/16,96.620003,96.650002,95.300003,95.330002
6/20/16,96,96.57,95.029999,95.099998
6/21/16,94.940002,96.349998,94.68,95.910004
6/22/16,96.25,96.889999,95.349998,95.550003
6/23/16,95.940002,96.290001,95.25,96.099998
6/24/16,92.910004,94.660004,92.650002,93.400002
6/27/16,93,93.050003,91.5,92.040001
6/28/16,92.900002,93.660004,92.139999,93.589996
6/29/16,93.970001,94.550003,93.629997,94.400002
6/30/16,94.440002,95.769997,94.300003,95.599998
7/1/16,95.489998,96.470001,95.330002,95.889999
7/5/16,95.389999,95.400002,94.459999,94.989998
7/6/16,94.599998,95.660004,94.370003,95.529999
7/7/16,95.699997,96.5,95.620003,95.940002
7/8/16,96.489998,96.889999,96.050003,96.68
7/11/16,96.75,97.650002,96.730003,96.980003
7/12/16,97.169998,97.699997,97.120003,97.419998
7/13/16,97.410004,97.669998,96.839996,96.870003
7/14/16,97.389999,98.989998,97.32,98.790001
7/15/16,98.919998,99.300003,98.5,98.779999
7/18/16,98.699997,100.129997,98.599998,99.830002
7/19/16,99.559998,100,99.339996,99.870003
7/20/16,100,100.459999,99.739998,99.959999
7/21/16,99.830002,101,99.129997,99.43
7/22/16,99.260002,99.300003,98.309998,98.660004
7/25/16,98.25,98.839996,96.919998,97.339996
7/26/16,96.82,97.970001,96.419998,96.669998
7/27/16,104.269997,104.349998,102.75,102.949997
7/28/16,102.830002,104.449997,102.82,104.339996
7/29/16,104.190002,104.550003,103.68,104.209999
8/1/16,104.410004,106.150002,104.410004,106.050003
8/2/16,106.050003,106.07,104,104.480003
8/3/16,104.809998,105.839996,104.769997,105.790001
8/4/16,105.580002,106,105.279999,105.870003
8/5/16,106.269997,107.650002,106.18,107.480003
8/8/16,107.519997,108.370003,107.160004,108.370003
8/9/16,108.230003,108.940002,108.010002,108.809998
8/10/16,108.709999,108.900002,107.760002,108
8/11/16,108.519997,108.93,107.849998,107.93
8/12/16,107.779999,108.440002,107.779999,108.18
8/15/16,108.139999,109.540001,108.080002,109.480003
8/16/16,109.629997,110.230003,109.209999,109.379997
8/17/16,109.099998,109.370003,108.339996,109.220001
